France,English
impression,impression
décidé,decided
sympa,nice
pars,go
fasse,do
avion,plane
bordel,mess
habitude,habit
table,table
rouge,red
système,system
photos,Pictures
médecin,doctor
seras,will be
bateau,boat
stupide,dumb
faim,hunger
autour,around
fond,bottom
surprise,surprise
croyez,believe
devais,had to
ligne,line
porter,carry
imagine,conceived
colère,anger
clair,light
seront,will be
savait,knew
balle,ball
gagné,won
or,gold
hors,except
magnifique,gorgeous
risque,risk
terminé,ended
su,su
heureuse,happy
mission,assignment
jolie,pretty one
parlez,speak
présent,here
sorti,got out
cadeau,present
expliquer,explain
volé,Fly
plusieurs,various
gauche,left
ferait,would do
neuf,new
passe-t-il,he passes
ouvre,open
disais,said
dedans,inside
disent,say
pouvons,can
allez-y,Go for it
suivre,follow
pourra,may
inspecteur,inspector
réponse,answer
lumière,light
pieds,feet
pote,pal
montre,show
pied,foot
marcher,walk
charlie,charlie
auras,auras
envoyer,send
vraie,real
espèce,species
doivent,must
allô,hi
pareil,the same
vas-tu,Are you going
soleil,Sun
camp,camp
fallait,had to
coin,corner
ignore,ignore
moitié,half
you,you
selon,according
tenir,hold
grosse,big
vouloir,want to
michael,Michael
vieille,old
devenu,became
continuer,Continue
rend,renders
sortie,exit
recherche,research
arrière,back
lire,read
doucement,gently
joli,attractive
avance,advance
exact,exact
disait,said
club,club
arrivée,arrival
tue,kill
laquelle,which
poser,to pose
chaud,hot
aimé,like
david,david
fais-tu,do you do
tom,Tom
professeur,teacher
quitter,leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,to know
lettre,letter
forme,form
connaît,know
conseil,advice
bar,bar
normal,normal
danger,danger
dangereux,dangerous
folle,crazy woman
jure,sworn
tiré,drawn
essaye,try
bonnes,good
offre,offer
but,aim
froid,cold
allez-vous,Are you going
prêts,loans
tranquille,calm
gamin,kid
joe,joe
classe,class
joué,play
poste,job
con,stupid
mike,mike
attaque,offensive
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,upright
envoie,send
preuve,evidence
oublier,to forget
bons,good
vivant,living
ciel,sky
lu,read
touche,touches 
aimer,to like
faites-vous,do yourself
télé,TV
met,put
écouter,to listen
serez,will be
ll,ll
pourtant,yet
change,exchange
triste,sad
droite,right
gueule,mouth
tombe,falls
sentir,feel
ouvrir,open
travers,through
santé,health
dossier,case
ie,ie
jeunes,youth
frank,Frank
coucher,to sleep
cuisine,kitchen
monte,mounted
pouvez-vous,can you
signifie,means
entrez,Come in
relation,relationship
centre,center
dame,lady
chacun,each
chanson,song
foutre,cum
voler,steal
blanc,White
george,George
certain,certain
don,Don
âme,soul
manière,way
flic,cop
décision,decision
mange,eat
vit,lives
compagnie,company
déjeuner,lunch
différent,different
tire,drawn
ordres,orders
clé,key
vaisseau,vessel
secondes,seconds
enfer,hell 
sortez,get out
vendre,sale
faisais,do
responsable,responsible
mecs,guys
nulle,nothing
signe,sign
lieutenant,lieutenant
aille,wing
acheté,bought
étrange,odd
diable,devil
viennent,are coming
monter,ascend
là-dedans,in there
l,I
capable,able
emmener,to take
écrire,to write
honte,shame
bouche,stuffy
préfère,favorite
coupable,guilty
rire,laugh
payé,paid
soin,care
milieu,environment
appartement,apartment
prochain,next
cerveau,brain
paris,Paris
m,M
blague,joke
choisi,selected
époque,era
aurez,will have
voie,way
réunion,meeting
connu,known
allée,aisle
intérêt,interest
cheval,horse
combat,fight
silence,silence
coups,strokes
existe,exist
ia,IA
retourne,return
tel,Phone
trou,hole
public,audience
peter,to fart
oeil,eye
pleine,full
cacher,to hide
amoureux,lover
drogue,dope
commandant,commanding officer
garçons,boys
faisons,let's do
paul,Paul
n,not
tient,is holding
est-elle,is she
prise,socket
gouvernement,government
dirai,will say
client,customer
adresse,address
journal,log
contact,contact
dingue,crazy
sent,feel
récupérer,retrieve
base,base
preuves,evidence
présente,present
peau,skin
servir,to serve
peuple,people
exemple,example
fiche,form
max,max
promets,promotion
lequel,which
blessé,hurt
c,vs
société,society
tort,wrong
sept,seven
pourriez,could
savent,know
ouvert,open
héros,hero
menti,lies
mer,sea
contente,satisfied
quitté,quits
jeter,to throw
sauvé,Safe
bière,beer
assis,sat
robe,dress
ecoutez,Listen
devient,bECOMES
félicitations,congratulations
opération,operation
prévu,intended
fut,was
tenez,hold
livres,books
répondre,answer
seuls,only
pute,whore
entrée,hall
vol,flight
horrible,horrible
vin,wine
dommage,shame
dites-moi,tell me
auriez,would have
colonel,colonel
ramener,to bring back
règles,rules
nez,nose
justice,justice
fbi,FBI
découvert,discovered
départ,departure
bruit,noise
secours,rescue
vérifier,check
enceinte,pregnant
mise,putting
témoin,witness
dirais,would say
directeur,director
intéressant,interesting
excuse,excuse
environ,about
t,t
inutile,useless
terrible,terrible
danse,dance
position,position
humain,human
apparemment,apparently
avenir,coming
rêves,dreams
œil,eye
bête,stupid
sérieusement,seriously
bravo,well done
approche,approach
nourriture,food
fric,money
plupart,mostly
lycée,high school
tas,pile
empêcher,to prevent
longue,long
sexe,sex
niveau,level
banque,bank
éviter,to avoid
étions,were
lune,moon
pitié,pity
liberté,freedom
expérience,experience
procès,court case
radio,radio
hum,hum
verra,will see
thé,tea
partez,set off
utilisé,used
mur,wall
pose,laid
revenu,revenue
deuxième,second
bande,bandaged
asseyez-vous,sit down
certaines,some
ridicule,ridiculous
nord,north
appelez,call
copine,friend
baiser,kiss
anglais,English
henry,Henry
toilettes,bathroom
portes,doors
faudra,will have to
occupé,busy
grands,tidy
and,and
dérange,disturbs
rôle,role
censé,supposed
savez-vous,Do you know
james,james
reine,queen
croit,believes
cour,court
église,church
vide,empty
obtenir,obtain
conneries,bullshit
ennuis,troubles
personnel,personal
conduire,conduct
tombé,falls
sol,floor
code,coded
huit,eight
avions,planes
espoir,hope
comprenez,understand
spécial,special
vidéo,video
vêtements,clothes
défense,defense
alex,Alex
sud,south
grand-mère,Grandmother
match,match
bombe,bomb
intéresse,interested
zone,area
tante,aunt
paraît,appears
excuser,excuse
magasin,store
marier,marry
chère,Dear
aie,Ouch
souvenir,memory
proche,close
revient,come back
danny,Danny
douleur,pain
arrivera,to arrive at
presse,hurry
merveilleux,marvellous
asseoir,Sit
ravi,delighted
aimais,loved
h.,h.
amérique,America
fenêtre,window
mien,mine
terrain,ground
sergent,sergeant
peux-tu,can you
projet,project
quartier,piece
planète,planet
certainement,definitely
rapide,fast
lorsque,when
assurer,to assure
rendu,rendering
mignon,cute
tourne,turned
danser,to dance
bob,bob
clients,clients
petites,small
aimez,like
présenter,to present
importance,importance
venus,Venus
jimmy,jimmy
sache,beam
mérite,deserved
machine,machine
derniers,last
programme,program
mesdames,ladies
meilleurs,best
honnête,honest
essayez,try
irai,go
connard,asshole
occasion,opportunity
prouver,prove
travaillé,work
glace,ice
ayez,have
parie,bett
camion,truck
fier,proud
discuter,discuss
village,town
spectacle,spectacle
d,d
nul,bad
rose,pink
touché,hit
mangé,eat
vis,screw
parole,word
rencontre,meet
apprécie,appreciate
jane,jane
réalité,reality
savons,soaps
respect,respect
remettre,to put back
vacances,holidays
détruire,destroy
choisir,Choose
ha,Ha
découvrir,discover
idées,ideas
officier,officer
frères,brothers
sert,serve
bill,bill
solution,solution
informations,information
attendais,expected
monstre,freak
sexy,sexy
ordinateur,computer
retrouvé,found
nature,nature
rappeler,recall
énergie,energy
pierre,Pierre
utilise,used
pression,pressure
chaussures,shoes
faite,done 
histoires,stories
sarah,sarah
marié,married
espace,space
soient,are
nick,nick
portable,portable
préparer,to prepare
nécessaire,necessary
court,short
offrir,to offer
will,will
ai-je,have I got
tony,tony
envers,towards
bain,bath
charge,charge
mary,mary
harry,harry
jim,jim
ennemi,enemy
arrivent,arrive
immédiatement,immediately
finalement,ultimately
énorme,huge
grand-père,grandfather
test,test
gagne,won
réfléchir,reflect
victimes,victims
chanter,to sing
futur,future
lâche,cowardly
mademoiselle,miss 
copain,buddy
enlever,to remove
pensez-vous,Do you think
retrouve,find
épouser,marry
fleurs,flowers
salope,slut
aies,aies
gosse,kid
arranger,arrange
riche,rich
faits,facts
ancien,ancient
stop,stop
accepter,accept
restes,remains
nouveaux,new
sauter,skip
suspect,suspicious
vies,lives
durant,during
invité,guest
politique,Politics
dents,teeth
patient,patient
repas,meal
urgence,emergency
cartes,cards
jambes,legs
conversation,conversation
telle,such
bus,bus
to,to
tourner,turn
toucher,to touch
mémoire,memory
série,series
mariée,bride
contraire,opposite
vent,wind
taille,cut
donnez-moi,Give me
trouves,found
celui-là,that one
chat,cat
continuez,continue
contrat,contract
couteau,knife
double,double
dure,hard
carrière,career
excuse-moi,excuse me
ray,ray
regardé,look at
descendre,to come down
université,university
sentiments,feelings
papier,paper
remarqué,noticed
noms,nouns
vécu,lived
courage,courage
beauté,beauty
bu,drank
tais-toi,Shut up
après-midi,afternoon
excellent,excellent
assieds-toi,Sit down
richard,richard
propres,clean
parmi,among
forte,strong
étant,being
couple,couple
aiment,like
permis,permit
différence,difference
faudrait,should
course,race
humains,humans
dégage,clear
mille,thousand
accès,access
cible,target
joyeux,joyful
bonheur,happiness
aimait,loved
manqué,lack
action,stock
steve,steve
aidé,assistance
vouliez,wanted
trouvez,Find
films,movies
emmène,take
marie,married
taxi,Taxi
restaurant,restaurant
crise,crisis
piste,track
dernières,latest
puisque,since
blanche,white
coupe,chopped off
secrets,secrets
prince,prince
marrant,funny
raisons,reasons
refuse,denied
apporté,brought
cassé,broken
lors,during
mettez,put
dis-lui,tell him
tuée,killed
maladie,sickness
mienne,mine
rentré,go home
week-end,weekend
excuses,apologies
km,km
alcool,alcohol
voudrait,would like
fil,thread
rends,renders
quitte,quits
couché,lying
disons,let's say
totalement,totally
claire,clear
it,it
londres,London
remercier,thank
mêmes,same
partis,gone
pensait,thought
île,island
tommy,Tommy
remercie,thanks
caméra,camera
pensent,think
suis-je,am I
pleurer,cry
régler,adjust
ouvrez,open
entier,entire
foutu,fucked up
types,types
fermer,close
animaux,animals
dise,say
image,image
étage,stage
rejoindre,rejoin
soldats,soldiers
amuser,amuse
points,points
suivi,followed
oubliez,forget
langue,language
direction,direction
frais,costs
veuillez,please
miss,miss
soldat,soldier
couleur,color
bouger,to move
frappé,struck
frapper,to hit
venait,came
raté,missed
évidemment,obviously
sacré,sacred
clés,keys
mentir,lie
épouse,spouse
troisième,third
johnny,johnny
amy,Amy
jésus,Jesus
faible,weak
ryan,ryan
afin,in order to
bleu,blue
failli,falling
courir,to run
américain,American
détails,details
pont,bridge
gay,gay
regarde-moi,look at me
jake,jake
billy,billy
attraper,to catch
papiers,papers
poisson,fish
lui-même,itself
wow,wow
chiens,dogs
date,date
intention,intention
procureur,prosecutor
goût,taste
pourras,can
shérif,sheriff
sais-tu,Do you know
arrêt,stop
sourire,smile
lait,milk
chasse,hunt
signal,signal
parlait,was talking
destin,fate
marre,fed up
français,French
princesse,princess
paie,pay
foi,faith
chier,take a dump
dois-je,should I
présence,presence
doigts,fingers
partenaire,partner
quelles,what
daniel,Daniel
préféré,prefer
adieu,goodbye
costume,suit
entreprise,company
utile,useful
calme-toi,calm down
lien,link
unique,unique
appartient,belongs
attendant,waiting
amené,bring
moindre,lesser
quels,What
amener,to bring
amène,bring
enfoiré,Motherfucker
recherches,research
discours,speech
données,data
robert,Robert
art,art
appelles,calls
salaud,bastard
penses-tu,do you think
magie,magic
bouteille,bottle
justement,exactly
raconter,to tell about
rapidement,rapidly
bref,Short
tribunal,court
viendra,will come
passée,past
superbe,stunning
pourrai,could
pièces,rooms
certaine,certain
obligé,obligatory
formidable,tremendous
pause,pause
identité,identify
campagne,country
lee,lee
auraient,would have
couper,to cut
mark,mark
morceau,piece
os,bone
lettres,letters
nombre,number
intelligent,clever
gâteau,cake
dépend,depends
job,job
jeux,games
compter,count
cou,neck
of,of
reprendre,to resume
joie,joy
agents,agents
gardes,guards
star,star
regard,glance
demandez,Ask
balles,bullets
vendu,sold
majesté,majesty
menace,threatens
malgré,despite
appareil,device
demandais,asked
là-haut,up there
privé,private
adam,Adam
forces,strengths
fonctionne,works
méchant,nasty
jambe,leg
empreintes,fingerprints
ange,angel
agir,to act
noire,black
imbécile,imbecile
gentille,gentle
labo,lab
résultats,results
toi-même,yourself
cinéma,movie theater
nouvel,new
malheureusement,Sadly
décider,decide
né,born
importante,important
voulons,want to
détruit,destroy
parfaitement,perfectly
martin,Martin
produit,product
réparer,to fix
chapeau,hat
gérer,to manage
écoute-moi,listen to me
adn,DNA
échange,exchange
mince,thin
bougez,move
parfaite,perfect
meurt,dies
fout,cum
vitesse,speed
fermé,firm
succès,hit
au-dessus,above
etre,to be=
souvenirs,memories
comprend,understand
odeur,odour
pain,bread
falloir,to need
aise,easy
caché,hidden
règle,rule
imaginer,to imagine
raconte,recount
vus,sees
accepté,accepted
trouvée,found
dors,sleep
celui-ci,this one
ministre,minister
infos,info
vendredi,Friday
voitures,cars
lever,lift
arbre,tree
maire,mayor
faveur,favor
pourraient,could
prendra,will take
surpris,surprised
jeté,thrown
également,also
fac,college
apporter,to bring
washington,Washington
champ,field
peut-on,can we
comptes,accounts
échapper,escape
valeur,value
in,in
réel,real
couverture,cover
million,million
article,article
doux,soft
parc,Park
toit,roof
unité,unity
resté,rest
plage,beach
partager,to share
malin,clever
recevoir,receive
inquiétez,worry
attendu,expected
charles,Charles
coffre,chest
uh,UH
eddie,Eddie
chris,Chris
celle-là,that one
ramène,brings back
mode,fashion
folie,madness
extérieur,outside
van,van
membre,member
prévenir,prevent
cache,hidden
inquiéter,worry
hasard,chance
concerne,concerned
réponds,answer
génie,genius
j,J
parlais,gauge
parlons,let's talk
jardin,garden
saison,season
montré,show
frappe,struck
enchanté,Nice To Meet You
gosses,kids
abandonner,to abandon
assure,insure
apporte,brought
prépare,prepared
mètres,meters
suivant,next
souhaite,wish
services,services
ouest,west
va-t',go t '
poids,weight
poche,poached
faisant,doing
répondu,answered
directement,directly
source,source
france,France
créer,create
samedi,Saturday
aidez-moi,help me
univers,universe
saura,will know
réalisé,realized
américains,American
perds,losers
membres,members
viande,meat
o',o '
bobby,bobby
sont-ils,are they
crois-moi,believe me
amoureuse,in love
grandes,large
changement,change
compliqué,complicated
bal,ball
page,page
conduit,conduit
passage,passage
piège,trap
kevin,kevin
ressens,feeling
accepte,accepted
grace,grace
fais-le,do it
amusant,fun
dan,dan
donnez,give
traces,traces
trésor,treasure
explique,Explain
fesses,buttocks
perte,loss
fantôme,phantom
naissance,birth
retraite,retirement
regardes,look
franchement,frankly
côtés,sides
larry,Larry
étranger,foreign
poulet,chicken
vienne,Vienna
débarrasser,rid
enlève,remove
marque,Mark
mens,mens
fantastique,fantastic
cent,hundred
beaux,beautiful
entendez,hear
ouverte,opened
bâtiment,building
a-t-elle,has she
devrions,should
embrasser,embrace
tombée,fall
manquer,to lack
entré,Between
san,San
chevaux,horses
habite,reside
animal,animal
fatigué,tiredness
heureusement,fortunately
billets,tickets
convaincre,convince
appelait,called
rachel,Rachel
paradis,heaven
émission,emission
lance,spear
nettoyer,to clean
file,line
dimanche,sunday
agréable,pleasant
plans,plans
conscience,awareness
ennemis,enemies
disant,saying
connaissance,knowledge
douce,gentle
belles,beautiful
sentiment,feeling
bataille,battle
perd,lose
pourrez,can
relations,relations
espérais,hoped
fais-moi,Make me
vôtre,your
servi,served
souci,worry
note,note
doigt,finger
mensonge,lying
volonté,will
walter,Walter
victoire,victoire
direct,direct
abandonné,abandoned
information,information
joindre,join
proches,relatives
brian,brian
droits,rights
eric,Eric
nerveux,nervous
coupé,cut
patients,patients
invités,guests
arrivés,arrived
descends,go down
pleure,cry
traitement,treatment
jerry,jerry
senti,felt
cancer,cancer
répète,say again
reposer,to rest
regrette,regret
aide-moi,help me
flingue,gun
cousin,cousin
désormais,from now on
vérifié,checked
crains,fearful
douche,shower
gaz,gas
interdit,prohibited
théorie,theory
scott,scott
trace,trace
contrôler,control
signer,sign
no,no
demandes,requests
internet,Internet
andy,Andy
cherchez,look
salon,living room
pete,pete
serons,will be
appels,calls
lancer,throw
protection,protection
pantalon,trousers
rappelles,recall
dossiers,files
style,style
ravie,tight
semblant,semblance
yeah,Yeah
kim,kim
offert,Free
vieil,old
humaine,human
grandi,grown up
médicaments,medications
acte,deed
moyens,means
lois,laws
kate,kate
meurs,die
laisserai,will leave
aéroport,airport
mauvaises,bad
détective,detective
autrement,other
témoins,witnesses
queue,tail
coincé,stuck
mariés,married
sonne,sound
innocent,innocent
dira,will say
créé,created
jason,jason
supporter,support
milliers,thousands
heu,uu
infirmière,nurse
métier,job
crétin,dumbass
retirer,remove
surveillance,surveillance
chances,odds
oreilles,ears
trouvera,will find
suicide,suicide
militaire,military
atteindre,reach
fuir,to run away
casse,broken
dormi,sleep
pilote,pilot
rires,laughter
appelée,called
risques,risks
leçon,lesson
paquet,pack
man,man
défendre,defend
immeuble,building
récemment,recently
chinois,Chinese
battu,beaten
aveugle,blind
oiseau,bird
qu,that
propriétaire,owner
ancienne,Ancient
veste,jacket
anna,Anna
simon,Simon
saviez,knew
amies,friends
cherché,look for
tirez,PULL
al,Al
différents,different
gardez,Keep
feras,do
lisa,Lisa
lis,Lily
station,station
mandat,mandate
assassin,assassin
thomas,Thomas
célèbre,famous
dort,sleep
bague,Ring
dépêche-toi,hurry up
tente,attempted
devenue,become
ventre,belly
carter,housing
respire,breath
haute,high
connaissais,knew
genoux,knees
terme,term
vert,green
emily,Emily
refusé,refuse
hâte,hurry
réveiller,wake
commande,ordered
commun,common
souris,mouse
partons,Let's go
perdue,lost
dirige,directed
verras,will see
charmant,charming
chante,sung
sport,sport
celle-ci,this one
viré,fired
ies,ies
fiston,son
étoiles,stars
laisses,leave
parlant,speaking
là-dessus,on this
signé,sign
virer,fire
permettre,allow
